id,name,address,city,district,lat,lon,url_2gis,parking_type,paid,tariff,capacity,parent_object,hours,rating,review_count,has_photos
70000001102945982_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I212C55BA-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000013H8CI1I70J62370fb,"Maksat Med, парковка",,Алматы,,,,https://2gis.kz/almaty/geo/70000001102945982_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I212C55BA-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000013H8CI1I70J62370fb,частная,,,,,24/7,1.7,4,False
9430047375175870_24e3zyksdBdB9A822J8H1J2JHGII0He5AjjApf4939-c17d01678734I861A6892-d8d50482465J28B383619328AIIJ1JIf8i3b78B8d33G4G297500473H73J2HI2,"улица Фурката, 15",,Алматы,,,,https://2gis.kz/almaty/geo/9430047375175870_24e3zyksdBdB9A822J8H1J2JHGII0He5AjjApf4939-c17d01678734I861A6892-d8d50482465J28B383619328AIIJ1JIf8i3b78B8d33G4G297500473H73J2HI2,частная,,,,,See 2GIS,3.7,4,True
70000001035734134_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I145A4435-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000015H94I1I70J6237061,Автостоянка,,Алматы,,,,https://2gis.kz/almaty/geo/70000001035734134_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I145A4435-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000015H94I1I70J6237061,частная,,,,,24/7,3.2,4,True
70000001054952754_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I164C6297-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000015H95I1I70J62370ee,Паркинг,,Алматы,,,,https://2gis.kz/almaty/geo/70000001054952754_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I164C6297-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000015H95I1I70J62370ee,частная,,,,,24/7,4.2,18,True
70000001101528534_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I21183875-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000015H96I1I70J62370A8,Парковка БЦ Азия-Мост,,Алматы,,,,https://2gis.kz/almaty/geo/70000001101528534_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I21183875-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000015H96I1I70J62370A8,БЦ,,,,,See 2GIS,5,2,False
70000001054953672_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I164C6389-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000013H97I1I70J62370de,Платная парковка,,Алматы,,,,https://2gis.kz/almaty/geo/70000001054953672_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I164C6389-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000013H97I1I70J62370de,частная,,,,,24/7,,,True
70000001090234759_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1A054497-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G273200001AH98I1I70J62370c4,"Almaty Parking, парковка №2011",,Алматы,,,,https://2gis.kz/almaty/geo/70000001090234759_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1A054497-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G273200001AH98I1I70J62370c4,частная,,,,,24/7,,,True
70000001110973820_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I220C83A4-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000011H99I1I70J62370c2,Парковка Boxpark Almaty,,Алматы,,,,https://2gis.kz/almaty/geo/70000001110973820_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I220C83A4-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000011H99I1I70J62370c2,частная,,,,,24/7,,,True
9429940000791360_924e3zyc17d0dB4I383617AJ2HI3AjjApf4504839-2465J281J2J97478B-d8dd33G4G2B1678737C2382Hksf8i3bdB9A8289322J8H9940011HHI2JHJIHG2Ia5,"Авиатор, автостоянка",,Алматы,,,,https://2gis.kz/almaty/geo/9429940000791360_924e3zyc17d0dB4I383617AJ2HI3AjjApf4504839-2465J281J2J97478B-d8dd33G4G2B1678737C2382Hksf8i3bdB9A8289322J8H9940011HHI2JHJIHG2Ia5,частная,,,,,See 2GIS,3.3,10,True
70000001110994407_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I220CA462-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000018H9BI1I70J623703b,"Almaty Parking, парковка №6011",,Алматы,,,,https://2gis.kz/almaty/geo/70000001110994407_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I220CA462-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000018H9BI1I70J623703b,частная,,,,,24/7,,,True
70000001057442486_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1677526A-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000017H9CI1I70J62370g4,Автостоянка,,Алматы,,,,https://2gis.kz/almaty/geo/70000001057442486_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1677526A-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000017H9CI1I70J62370g4,частная,,,,,24/7,5,3,True
70030077077118424_24e3zyksdBdB9A822J8H1J2JHGIIG1GdAjjApf4939-c17d01678734I18742864-d8d50482465J28B3836193228BIJH3If8i3b78B8d33G4G2732300775HA3I1IH3,3,,Алматы,,,,https://2gis.kz/almaty/geo/70030077077118424_24e3zyksdBdB9A822J8H1J2JHGIIG1GdAjjApf4939-c17d01678734I18742864-d8d50482465J28B3836193228BIJH3If8i3b78B8d33G4G2732300775HA3I1IH3,частная,,,,,24/7,,,False
70000001100622752_924e3zyc17d0dB4I38361HA4I1IHAjjApf4504839-2465J281J2J73278B-d8dd33G4G2B1678730932973ksf8i3bdB9A8289322J8H00001213HII3HJIHGI2GA9,"Arilan Energy, станция зарядки электромобилей",,Алматы,,,,https://2gis.kz/almaty/geo/70000001100622752_924e3zyc17d0dB4I38361HA4I1IHAjjApf4504839-2465J281J2J73278B-d8dd33G4G2B1678730932973ksf8i3bdB9A8289322J8H00001213HII3HJIHGI2GA9,частная,,,,,24/7,4.6,8,True
70000001057444738_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I16775495-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000019HA5I1I70J6237039,Автостоянка,,Алматы,,,,https://2gis.kz/almaty/geo/70000001057444738_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I16775495-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000019HA5I1I70J6237039,частная,,,,,24/7,,,False
70000001057445266_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I16775548-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000017HA6I1I70J62370Aa,"Almaty Parking, парковка №6013",,Алматы,,,,https://2gis.kz/almaty/geo/70000001057445266_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I16775548-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000017HA6I1I70J62370Aa,частная,,,,,See 2GIS,5,2,True
70000001111018891_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I221328AB-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000012HA7I1I70J623703a,Крытая парковка Koktem Grand,,Алматы,,,,https://2gis.kz/almaty/geo/70000001111018891_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I221328AB-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000012HA7I1I70J623703a,частная,,,,,See 2GIS,,,False
70000001053663020_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I16397324-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000011HA8I1I70J62370A1,Автостоянка,,Алматы,,,,https://2gis.kz/almaty/geo/70000001053663020_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I16397324-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000011HA8I1I70J62370A1,частная,,,,,24/7,4.6,3,False
70000001057444541_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I16775476-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000012HA9I1I70J6237092,Автостоянка,,Алматы,,,,https://2gis.kz/almaty/geo/70000001057444541_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I16775476-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000012HA9I1I70J6237092,частная,,,,,24/7,,,True
70000001094488338_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1A479855-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000019HAAI1I70J6237083,"Almaty Parking, парковка №5801",,Алматы,,,,https://2gis.kz/almaty/geo/70000001094488338_24e3zyksdBdB9A822J8H1J2JH0IIGHGJAjjApf4939-c17d01678734I1A479855-d8d50482465J28B383619321462J3JIf8i3b78B8d33G4G2732000019HAAI1I70J6237083,частная,,,,,24/7,1.8,21,True
